
Name                                         ProcessId ExecutablePath                                                  
----                                         --------- --------------                                                  
System Idle Process                                  0                                                                 
System                                               4                                                                 
Secure System                                      428                                                                 
Registry                                           472                                                                 
smss.exe                                          1280                                                                 
csrss.exe                                         1848                                                                 
wininit.exe                                       2036                                                                 
services.exe                                      1844                                                                 
LsaIso.exe                                        2072                                                                 
lsass.exe                                         2080                                                                 
svchost.exe                                       2232                                                                 
fontdrvhost.exe                                   2264                                                                 
WUDFHost.exe                                      2292                                                                 
svchost.exe                                       2404                                                                 
WUDFHost.exe                                      2564                                                                 
WUDFHost.exe                                      2680                                                                 
svchost.exe                                       2800                                                                 
svchost.exe                                       2808                                                                 
svchost.exe                                       2824                                                                 
WUDFHost.exe                                      3016                                                                 
svchost.exe                                       3024                                                                 
svchost.exe                                       3076                                                                 
svchost.exe                                       3184                                                                 
svchost.exe                                       3212                                                                 
platform_runtime_IS5LEYETRACKER5_service.exe      3404                                                                 
svchost.exe                                       3484                                                                 
NVDisplay.Container.exe                           3664                                                                 
svchost.exe                                       3676                                                                 
atiesrxx.exe                                      3828                                                                 
amdfendrsr.exe                                    3836                                                                 
svchost.exe                                       3936                                                                 
svchost.exe                                       3952                                                                 
Memory Compression                                4024                                                                 
svchost.exe                                       4076                                                                 
svchost.exe                                       3164                                                                 
svchost.exe                                       4116                                                                 
svchost.exe                                       4320                                                                 
svchost.exe                                       4328                                                                 
svchost.exe                                       4484                                                                 
spoolsv.exe                                       4564                                                                 
svchost.exe                                       4648                                                                 
svchost.exe                                       4716                                                                 
amd3dvcacheSvc.exe                                5212                                                                 
AmdAppCompatSvc.exe                               5220                                                                 
mDNSResponder.exe                                 5232                                                                 
AmdPpkgSvc.exe                                    5240                                                                 
barrierd.exe                                      5256                                                                 
AorusLcdService.exe                               5268                                                                 
GameInputRedistService.exe                        5288                                                                 
HPPrintScanDoctorService.exe                      5320                                                                 
ScreenConnect.ClientService.exe                   5328                                                                 
svchost.exe                                       5348                                                                 
pservice.exe                                      5356                                                                 
